#SampleID	Sample Accession	Sample Alias	Ecozone	Region	Site	Environmental Source	Phylogenetic Marker	Target Gene Subfragment	Collection Date	sampling_depth_m	elevation_m	mean_annual_temp_C	total_carbon	total_nitrogen	ph	cn_ratio	ph_category	cn_category	env_feature	env_material	total_organic_carb_percent	total_inorganic_carbon_percent	total_carbon_percent	soil_total_inorganic_nitrogen	soil_nitrogen_units	total_nitrogen_percent	cn_category_per_dataset
10156.2S4.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.32	25.4388093504813	Neutral	Intermediate	freshwater wetland	soil	1.5405	1.6048	3.145	2.213076386	ug N/g dry soil	0.12363	Intermediate-Wetlands
10156.2S5.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.34	48.0888030888031	Neutral	High	freshwater wetland	soil	0.64159999999999995	1.8489	2.491	0.84424683099999998	ug N/g dry soil	0.0518	High-Wetlands
10156.2T1.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.12	20.5938927626833	Neutral	Intermediate	freshwater wetland	soil	2.169	1.2565	3.426	2.1371831480000001	ug N/g dry soil	0.16636	Intermediate-Wetlands
10156.2T2.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.16	20.8056748665886	Neutral	Intermediate	freshwater wetland	soil	1.8459000000000001	1.3511	3.197	0.55841478300000003	ug N/g dry soil	0.15366	Intermediate-Wetlands
10156.2T3.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.2	14.5866079849104	Neutral	Low	freshwater wetland	soil	3.3450000000000002	0.8306	4.176	1.178489796	ug N/g dry soil	0.28629	Low-Wetlands
10156.2T4.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.1	15.4205266613174	Neutral	Low	freshwater wetland	soil	3.3039000000000001	0.92420000000000002	4.228	0.689143426	ug N/g dry soil	0.27418	Low-Wetlands
10156.2T5.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.29	25.3502001143511	Neutral	Intermediate	freshwater wetland	soil	2.0152999999999999	1.5315000000000001	3.547	2.4238122350000002	ug N/g dry soil	0.13992	Intermediate-Wetlands
10156.30.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	125.2	NA	NA	NA	6.54	10.0922771764909	Neutral	Low	freshwater wetland	soil	4.532	0.1487	4.681	49.296852780000002	ug N/g dry soil	0.46382	Low-Wetlands
10156.33.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	113	NA	NA	NA	6.85	10.8627029841518	Neutral	Low	freshwater wetland	soil	2.8815	0.45610000000000001	3.338	105.6645793	ug N/g dry soil	0.30729	Low-Wetlands
10156.37.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	408.9	NA	NA	NA	6.66	10.2478356184743	Neutral	Low	freshwater wetland	soil	2.6495000000000002	0.1084	2.758	5.9784025720000002	ug N/g dry soil	0.26913	Low-Wetlands
10156.38.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	408.9	NA	NA	NA	6.26	14.7434854156495	Slightly Acidic	Low	freshwater wetland	soil	7.9608999999999996	0.1923	8.153	13.945316269999999	ug N/g dry soil	0.55299	Low-Wetlands
10156.3B1.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	113	NA	NA	NA	7.29	33.6505190311419	Neutral	High	freshwater wetland	soil	1.6052999999999999	1.1181000000000001	2.723	2.105734483	ug N/g dry soil	0.08092	High-Wetlands
10156.3B2.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	113	NA	NA	NA	7.4	36.8959868959869	Neutral	High	freshwater wetland	soil	1.2566999999999999	1.4460999999999999	2.703	2.6863847230000002	ug N/g dry soil	0.07326	High-Wetlands
10156.3B3.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	113	NA	NA	NA	6.98	24.6427384513127	Neutral	Intermediate	freshwater wetland	soil	2.7795000000000001	0.18609999999999999	2.966	0.57487209900000003	ug N/g dry soil	0.12036	Intermediate-Wetlands
10156.3B4.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	113	NA	NA	NA	7.27	28.455826351866	Neutral	Intermediate	freshwater wetland	soil	2.2471000000000001	0.74239999999999995	2.989	2.6137630430000001	ug N/g dry soil	0.10504	Intermediate-Wetlands
